主要建材_cat,主要用途_cat,交易年月日_date,備註,全移轉_bin,單價每平方公尺,土地_num,土地移轉總面積平方公尺,建物_num,建物型態_cat,建物現況格局-廳,建物現況格局-房,建物現況格局-衛,建物現況格局-隔間_bin,建物移轉總面積平方公尺,建築完成年月_date,有無管理組織_bin,移轉層次_num,總價元,總樓層數_num,車位_num,車位移轉總面積平方公尺,車位總價元,車位類別_cat,都市土地使用分區_cat,鄉鎮市區_cat
12,2,2015-10-03,含增建或未登記建物。,0,186522.0,1,6.6,1,5,1,1,1,1,31.31,1980-01-10,1,6,5840000,6,0,0.0,0,0,3,1
12,2,2015-09-27,價格含增建。內含獨立產權車位，未包含在棟數內。本案車位面積無法概算。,0,164809.0,1,30.11,1,1,2,4,2,1,166.86,1991-01-08,1,"2,3",27500000,13,1,0.0,0,3,1,4
12,2,2015-08-23,,0,172060.0,1,75.79,1,9,2,3,2,1,326.63,2009-11-26,1,7,56200000,10,2,0.0,0,1,1,4
12,2,2015-10-06,,0,148499.0,1,17.32,1,3,2,2,1,1,90.91,1982-06-22,0,3,13500000,5,0,0.0,0,0,3,1
12,2,2015-09-18,,0,184897.0,6,17.64,1,9,1,2,2,1,102.76,1980-05-15,1,4,19000000,7,0,0.0,0,0,1,1
12,2,2015-10-27,無隔間的集合住宅,0,174115.0,1,8.55,1,4,0,0,0,0,34.46,1975-09-03,1,1,6000000,4,0,0.0,0,0,3,1
1,2,2015-10-20,親友、員工或其他特殊關係間之交易。,0,96355.0,2,18.25,1,3,1,2,1,1,62.27,,0,4,6000000,4,0,0.0,0,0,3,1
12,2,2015-10-18,,0,168349.0,2,27.3,1,3,2,3,2,1,99.08,1980-04-22,0,5,16680000,5,0,0.0,0,0,1,1
12,2,2015-08-27,親友、員工或其他特殊關係間之交易。,0,156217.0,1,31.31,1,3,2,3,2,1,96.02,1981-07-03,0,2,15000000,5,0,0.0,0,0,1,4
10,2,2013-06-22,1.本案為預售合約價格。2.雨遮3.54平方公尺，不計價。,0,274279.0,1,19.9,1,1,2,4,2,1,320.53,2015-06-23,0,12,67650000,16,2,95.04,5800000,1,3,1
10,2,2015-10-01,,0,252993.0,1,19.75,1,1,2,4,2,1,273.01,2015-06-23,0,13,60000000,16,1,47.52,2950000,1,3,1
12,2,2015-10-19,,0,191238.0,1,18.54,1,1,2,4,2,1,172.56,1977-03-22,1,,33000000,11,0,0.0,0,0,3,1
12,2,2015-10-16,,0,198308.0,1,26.6,1,9,2,3,2,1,151.28,1980-03-24,1,5,30000000,7,0,0.0,0,0,1,1
12,2,2015-10-12,,0,171854.0,1,24.13,1,3,2,3,2,1,104.74,1980-10-24,0,1,18000000,4,0,0.0,0,0,1,4
12,5,2015-10-08,,0,199681.0,1,34.15,1,9,0,0,0,0,188.3,2008-12-24,1,1,37600000,6,1,0.0,0,1,3,1
1,2,2015-09-22,價格含增建。,0,97403.0,1,21.25,1,3,2,3,1,1,77.0,,0,4,7500000,4,0,0.0,0,0,1,6
12,2,2015-10-06,親友、員工或其他特殊關係間之交易。,0,61004.0,1,15.26,1,9,2,3,1,1,85.24000000000002,,1,6,5200000,7,0,0.0,0,0,2,11
14,2,2011-02-24,,0,259703.0,1,56.99,1,1,2,3,3,1,343.7000000000001,2014-12-04,1,14,81340000,21,2,55.14,6400000,1,1,6
14,2,2015-09-12,含增建或未登記建物。內含獨立產權車位，未包含在棟數內。,0,267322.0,3,20.12,1,1,2,4,2,1,230.05,1994-10-21,1,16,61500000,23,1,0.0,0,1,1,3
12,2,2015-10-20,,0,172475.0,1,27.52,1,3,2,3,2,1,102.16,1980-04-28,1,3,17620000,5,0,0.0,0,0,1,3
12,8,2015-10-07,,0,122254.0,1,148.67,1,3,0,0,0,0,576.67,1982-06-30,0,1,70500000,5,0,0.0,0,0,2,11
12,2,2015-10-14,,0,198291.0,1,22.75,1,3,1,2,1,1,64.35,1976-06-03,0,3,12760000,4,0,0.0,0,0,1,7
1,2,2015-10-08,二親等買賣。依公告現值加一點做買賣價金。,0,59354.0,1,32.25,1,3,2,3,1,1,84.24,1969-07-28,0,3,5000000,4,0,0.0,0,0,1,7
14,2,2013-04-30,,0,186494.0,2,26.06,1,1,0,0,0,0,203.76,2015-02-13,1,9,38000000,23,1,36.19,0,1,1,5
12,2,2015-10-13,,0,145183.0,1,11.71,1,5,1,1,1,1,29.48,,0,1,4280000,5,0,0.0,0,0,1,7
12,5,2015-10-06,,0,171369.0,1,18.48,2,1,3,4,2,1,201.32,1986-10-17,1,12,34500000,12,1,38.07,0,1,3,7
12,9,2015-10-04,,0,256656.0,1,12.63,1,9,1,1,1,1,57.47,2008-12-22,1,3,14750000,7,1,0.0,0,5,1,7
12,2,2015-10-04,,0,139449.0,1,68.01,1,3,2,5,3,1,220.87,1988-04-23,0,"1,2,3",30800000,5,1,0.0,0,1,1,7
12,2,2013-04-09,預售屋,0,192919.0,1,33.81,1,1,2,3,2,1,169.67,2015-08-04,1,7,28000000,14,1,37.49,2500000,1,1,5
12,2,2013-03-24,預售屋,0,194322.0,1,33.4,1,1,2,3,2,1,165.2,2015-08-04,1,7,28070000,14,1,33.1,2400000,1,1,5
12,2,2013-06-01,預售屋,0,185801.0,1,46.43,1,1,2,3,2,1,216.63,2015-08-04,1,5,36500000,14,1,33.1,2400000,1,1,5
